cnae_name,cnae_formated_code,cnae_category,cnae_code
Coleta de produtos não madeireiros não especificados anteriormente em florestas nativas,0220-9/99,subclass,0220999
Atividades de apoio à produção florestal,02.3,group,023
Atividades de apoio à produção florestal,02.30-6,class,02306
Atividades de apoio à produção florestal,0230-6/00,subclass,0230600
PESCA E AQÜICULTURA,03,division,03
Pesca,03.1,group,031
Pesca em água salgada,03.11-6,class,03116
Pesca de peixes em água salgada,0311-6/01,subclass,0311601
Pesca de crustáceos e moluscos em água salgada,0311-6/02,subclass,0311602
Coleta de outros produtos marinhos,0311-6/03,subclass,0311603
Atividades de apoio à pesca em água salgada,0311-6/04,subclass,0311604
Pesca em água doce,03.12-4,class,03124
Pesca de peixes em água doce,0312-4/01,subclass,0312401
Pesca de crustáceos e moluscos em água doce,0312-4/02,subclass,0312402
Coleta de outros produtos aquáticos de água doce,0312-4/03,subclass,0312403
Atividades de apoio à pesca em água doce,0312-4/04,subclass,0312404
Aquicultura,03.2,group,032
Aquicultura em água salgada e salobra,03.21-3,class,03213
Criação de peixes em água salgada e salobra,0321-3/01,subclass,0321301
Criação de camarões em água salgada e salobra,0321-3/02,subclass,0321302
Criação de ostras e mexilhões em água salgada e salobra,0321-3/03,subclass,0321303
Criação de peixes ornamentais em água salgada e salobra,0321-3/04,subclass,0321304
Atividades de apoio à aquicultura em água salgada e salobra,0321-3/05,subclass,0321305
Cultivos e semicultivos da aquicultura em água salgada e salobra não especificados anteriormente,0321-3/99,subclass,0321399
Aquicultura em água doce,03.22-1,class,03221
Criação de peixes em água doce,0322-1/01,subclass,0322101
Criação de camarões em água doce,0322-1/02,subclass,0322102
Criação de ostras e mexilhões em água doce,0322-1/03,subclass,0322103
Criação de peixes ornamentais em água doce,0322-1/04,subclass,0322104
Ranicultura,0322-1/05,subclass,0322105
Criação de jacaré,0322-1/06,subclass,0322106
Atividades de apoio à aquicultura em água doce,0322-1/07,subclass,0322107
Cultivos e semicultivos da aquicultura em água doce não especificados anteriormente,0322-1/99,subclass,0322199
INDÚSTRIAS EXTRATIVAS,B,section,B
EXTRAÇÃO DE CARVÃO MINERAL,05,division,05
Extração de carvão mineral,05.0,group,050
Extração de carvão mineral,05.00-3,class,05003
Extração de carvão mineral,0500-3/01,subclass,0500301
Beneficiamento de carvão mineral,0500-3/02,subclass,0500302
EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL,06,division,06
Extração de petróleo e gás natural,06.0,group,060
Extração de petróleo e gás natural,06.00-0,class,06000
Extração de petróleo e gás natural,0600-0/01,subclass,0600001
Extração e beneficiamento de xisto,0600-0/02,subclass,0600002
Extração e beneficiamento de areias betuminosas,0600-0/03,subclass,0600003
EXTRAÇÃO DE MINERAIS METÁLICOS,07,division,07
Extração de minério de ferro,07.1,group,071
Extração de minério de ferro,07.10-3,class,07103
Extração de minério de ferro,0710-3/01,subclass,0710301
"Pelotização, sinterização e outros beneficiamentos de minério de ferro",0710-3/02,subclass,0710302
Extração de minerais metálicos não ferrosos,07.2,group,072
Extração de minério de alumínio,07.21-9,class,07219
Extração de minério de alumínio,0721-9/01,subclass,0721901
Beneficiamento de minério de alumínio,0721-9/02,subclass,0721902
Extração de minério de estanho,07.22-7,class,07227
Extração de minério de estanho,0722-7/01,subclass,0722701
Beneficiamento de minério de estanho,0722-7/02,subclass,0722702
Extração de minério de manganês,07.23-5,class,07235
Extração de minério de manganês,0723-5/01,subclass,0723501
Beneficiamento de minério de manganês,0723-5/02,subclass,0723502
Extração de minério de metais preciosos,07.24-3,class,07243
Extração de minério de metais preciosos,0724-3/01,subclass,0724301
Beneficiamento de minério de metais preciosos,0724-3/02,subclass,0724302
Extração de minerais radioativos,07.25-1,class,07251
Extração de minerais radioativos,0725-1/00,subclass,0725100
Extração de minerais metálicos não ferrosos não especificados anteriormente,07.29-4,class,07294
Extração de minérios de nióbio e titânio,0729-4/01,subclass,0729401
Extração de minério de tungstênio,0729-4/02,subclass,0729402
Extração de minério de níquel,0729-4/03,subclass,0729403
"Extração de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente",0729-4/04,subclass,0729404
"Beneficiamento de minérios de cobre, chumbo, zinco e outros minerais metálicos não ferrosos não especificados anteriormente",0729-4/05,subclass,0729405
EXTRAÇÃO DE MINERAIS NÃO METÁLICOS,08,division,08
"Extração de pedra, areia e argila",08.1,group,081
"Extração de pedra, areia e argila",08.10-0,class,08100
Extração de ardósia e beneficiamento associado,0810-0/01,subclass,0810001
Extração de granito e beneficiamento associado,0810-0/02,subclass,0810002
Extração de mármore e beneficiamento associado,0810-0/03,subclass,0810003
Extração de calcário e dolomita e beneficiamento associado,0810-0/04,subclass,0810004
Extração de gesso e caulim,0810-0/05,subclass,0810005
"Extração de areia, cascalho ou pedregulho e beneficiamento associado",0810-0/06,subclass,0810006
Extração de argila e beneficiamento associado,0810-0/07,subclass,0810007
Extração de saibro e beneficiamento associado,0810-0/08,subclass,0810008
Extração de basalto e beneficiamento associado,0810-0/09,subclass,0810009
Beneficiamento de gesso e caulim associado à extração,0810-0/10,subclass,0810010
Extração e britamento de pedras e outros materiais para construção e beneficiamento associado,0810-0/99,subclass,0810099
Extração de outros minerais não metálicos,08.9,group,089
"Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos",08.91-6,class,08916
"Extração de minerais para fabricação de adubos, fertilizantes e outros produtos químicos",0891-6/00,subclass,0891600
Extração e refino de sal marinho e sal-gema,08.92-4,class,08924
Extração de sal marinho,0892-4/01,subclass,0892401
Extração de sal-gema,0892-4/02,subclass,0892402
Refino e outros tratamentos do sal,0892-4/03,subclass,0892403
Extração de gemas (pedras preciosas e semipreciosas),08.93-2,class,08932
Extração de gemas (pedras preciosas e semipreciosas),0893-2/00,subclass,0893200
Extração de minerais não metálicos não especificados anteriormente,08.99-1,class,08991
Extração de grafita,0899-1/01,subclass,0899101
Extração de quartzo,0899-1/02,subclass,0899102
Extração de amianto,0899-1/03,subclass,0899103
Extração de outros minerais não metálicos não especificados anteriormente,0899-1/99,subclass,0899199
ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS,09,division,09
Atividades de apoio à extração de petróleo e gás natural,09.1,group,091
Atividades de apoio à extração de petróleo e gás natural,09.10-6,class,09106
Atividades de apoio à extração de petróleo e gás natural,0910-6/00,subclass,0910600
"Atividades de apoio à extração de minerais, exceto petróleo e gás natural",09.9,group,099
"Atividades de apoio à extração de minerais, exceto petróleo e gás natural",09.90-4,class,09904
Atividades de apoio à extração de minério de ferro,0990-4/01,subclass,0990401
Atividades de apoio à extração de minerais metálicos não ferrosos,0990-4/02,subclass,0990402
Atividades de apoio à extração de minerais não metálicos,0990-4/03,subclass,0990403
INDÚSTRIAS DE TRANSFORMAÇÃO,C,section,C
FABRICAÇÃO DE PRODUTOS ALIMENTÍCIOS,10,division,10
Abate e fabricação de produtos de carne,10.1,group,101
"Abate de reses, exceto suínos",10.11-2,class,10112
Frigorífico - abate de bovinos,1011-2/01,subclass,1011201
Frigorífico - abate de equinos,1011-2/02,subclass,1011202
Frigorífico - abate de ovinos e caprinos,1011-2/03,subclass,1011203
Frigorífico - abate de bufalinos,1011-2/04,subclass,1011204
"Matadouro - abate de reses sob contrato, exceto abate de suínos",1011-2/05,subclass,1011205
"Abate de suínos, aves e outros pequenos animais",10.12-1,class,10121
Abate de aves,1012-1/01,subclass,1012101
Abate de pequenos animais,1012-1/02,subclass,1012102
Frigorífico - abate de suínos,1012-1/03,subclass,1012103
Matadouro - abate de suínos sob contrato,1012-1/04,subclass,1012104
Fabricação de produtos de carne,10.13-9,class,10139
Fabricação de produtos de carne,1013-9/01,subclass,1013901
Preparação de subprodutos do abate,1013-9/02,subclass,1013902
Preservação do pescado e fabricação de produtos do pescado,10.2,group,102
Preservação do pescado e fabricação de produtos do pescado,10.20-1,class,10201
"Preservação de peixes, crustáceos e moluscos",1020-1/01,subclass,1020101
"Fabricação de conservas de peixes, crustáceos e moluscos",1020-1/02,subclass,1020102
"Fabricação de conservas de frutas, legumes e outros vegetais",10.3,group,103
Fabricação de conservas de frutas,10.31-7,class,10317
Fabricação de conservas de frutas,1031-7/00,subclass,1031700
Fabricação de conservas de legumes e outros vegetais,10.32-5,class,10325
Fabricação de conservas de palmito,1032-5/01,subclass,1032501
"Fabricação de conservas de legumes e outros vegetais, exceto palmito",1032-5/99,subclass,1032599
"Fabricação de sucos de frutas, hortaliças e legumes",10.33-3,class,10333
"Fabricação de sucos concentrados de frutas, hortaliças e legumes",1033-3/01,subclass,1033301
"Fabricação de sucos de frutas, hortaliças e legumes, exceto concentrados",1033-3/02,subclass,1033302
Fabricação de óleos e gorduras vegetais e animais,10.4,group,104
"Fabricação de óleos vegetais em bruto, exceto óleo de milho",10.41-4,class,10414
"Fabricação de óleos vegetais em bruto, exceto óleo de milho",1041-4/00,subclass,1041400
"Fabricação de óleos vegetais refinados, exceto óleo de milho",10.42-2,class,10422
"Fabricação de óleos vegetais refinados, exceto óleo de milho",1042-2/00,subclass,1042200
Fabricação de margarina e outras gorduras vegetais e de óleos não comestíveis de animais,10.43-1,class,10431
Fabricação de margarina e outras gorduras vegetais e de óleos não comestíveis de animais,1043-1/00,subclass,1043100
Laticínios,10.5,group,105
Preparação do leite,10.51-1,class,10511
Preparação do leite,1051-1/00,subclass,1051100
Fabricação de laticínios,10.52-0,class,10520
Fabricação de laticínios,1052-0/00,subclass,1052000
Fabricação de sorvetes e outros gelados comestíveis,10.53-8,class,10538
Fabricação de sorvetes e outros gelados comestíveis,1053-8/00,subclass,1053800
"Moagem, fabricação de produtos amiláceos e de alimentos para animais",10.6,group,106
Beneficiamento de arroz e fabricação de produtos do arroz,10.61-9,class,10619
Beneficiamento de arroz,1061-9/01,subclass,1061901
Fabricação de produtos do arroz,1061-9/02,subclass,1061902
Moagem de trigo e fabricação de derivados,10.62-7,class,10627
Moagem de trigo e fabricação de derivados,1062-7/00,subclass,1062700
Fabricação de farinha de mandioca e derivados,10.63-5,class,10635
Fabricação de farinha de mandioca e derivados,1063-5/00,subclass,1063500
"Fabricação de farinha de milho e derivados, exceto óleos de milho",10.64-3,class,10643
"Fabricação de farinha de milho e derivados, exceto óleos de milho",1064-3/00,subclass,1064300
Fabricação de amidos e féculas de vegetais e de óleos de milho,10.65-1,class,10651
Fabricação de amidos e féculas de vegetais,1065-1/01,subclass,1065101
Fabricação de óleo de milho em bruto,1065-1/02,subclass,1065102
Fabricação de óleo de milho refinado,1065-1/03,subclass,1065103
Fabricação de alimentos para animais,10.66-0,class,10660
Fabricação de alimentos para animais,1066-0/00,subclass,1066000
Moagem e fabricação de produtos de origem vegetal não especificados anteriormente,10.69-4,class,10694
Moagem e fabricação de produtos de origem vegetal não especificados anteriormente,1069-4/00,subclass,1069400
Fabricação e refino de açúcar,10.7,group,107
Fabricação de açúcar em bruto,10.71-6,class,10716
Fabricação de açúcar em bruto,1071-6/00,subclass,1071600
Fabricação de açúcar refinado,10.72-4,class,10724
Fabricação de açúcar de cana refinado,1072-4/01,subclass,1072401
Fabricação de açúcar de cereais (dextrose) e de beterraba,1072-4/02,subclass,1072402
Torrefação e moagem de café,10.8,group,108
Torrefação e moagem de café,10.81-3,class,10813
Beneficiamento de café,1081-3/01,subclass,1081301
Torrefação e moagem de café,1081-3/02,subclass,1081302
Fabricação de produtos à base de café,10.82-1,class,10821
Fabricação de produtos à base de café,1082-1/00,subclass,1082100
Fabricação de outros produtos alimentícios,10.9,group,109
Fabricação de produtos de panificação,10.91-1,class,10911
Fabricação de produtos de panificação industrial,1091-1/01,subclass,1091101
Fabricação de produtos de padaria e confeitaria com predominância de produção própria,1091-1/02,subclass,1091102
Fabricação de biscoitos e bolachas,10.92-9,class,10929
Fabricação de biscoitos e bolachas,1092-9/00,subclass,1092900
"Fabricação de produtos derivados do cacau, de chocolates e confeitos",10.93-7,class,10937
Fabricação de produtos derivados do cacau e de chocolates,1093-7/01,subclass,1093701
"Fabricação de frutas cristalizadas, balas e semelhantes",1093-7/02,subclass,1093702
Fabricação de massas alimentícias,10.94-5,class,10945
Fabricação de massas alimentícias,1094-5/00,subclass,1094500
"Fabricação de especiarias, molhos, temperos e condimentos",10.95-3,class,10953
"Fabricação de especiarias, molhos, temperos e condimentos",1095-3/00,subclass,1095300
Fabricação de alimentos e pratos prontos,10.96-1,class,10961
Fabricação de alimentos e pratos prontos,1096-1/00,subclass,1096100
Fabricação de produtos alimentícios não especificados anteriormente,10.99-6,class,10996
Fabricação de vinagres,1099-6/01,subclass,1099601
Fabricação de pós-alimentícios,1099-6/02,subclass,1099602
Fabricação de fermentos e leveduras,1099-6/03,subclass,1099603
Fabricação de gelo comum,1099-6/04,subclass,1099604
"Fabricação de produtos para infusão (chá, mate, etc.)",1099-6/05,subclass,1099605
Fabricação de adoçantes naturais e artificiais,1099-6/06,subclass,1099606
Fabricação de alimentos dietéticos e complementos alimentares,1099-6/07,subclass,1099607
Fabricação de outros produtos alimentícios não especificados anteriormente,1099-6/99,subclass,1099699
FABRICAÇÃO DE BEBIDAS,11,division,11
Fabricação de bebidas alcoólicas,11.1,group,111
Fabricação de aguardentes e outras bebidas destiladas,11.11-9,class,11119
Fabricação de aguardente de cana-de-açúcar,1111-9/01,subclass,1111901
Fabricação de outras aguardentes e bebidas destiladas,1111-9/02,subclass,1111902
Fabricação de vinho,11.12-7,class,11127
Fabricação de vinho,1112-7/00,subclass,1112700
"Fabricação de malte, cervejas e chopes",11.13-5,class,11135
"Fabricação de malte, inclusive malte uísque",1113-5/01,subclass,1113501
Fabricação de cervejas e chopes,1113-5/02,subclass,1113502
Fabricação de bebidas não alcoólicas,11.2,group,112
Fabricação de águas envasadas,11.21-6,class,11216
Fabricação de águas envasadas,1121-6/00,subclass,1121600
Fabricação de refrigerantes e de outras bebidas não alcoólicas,11.22-4,class,11224
Fabricação de refrigerantes,1122-4/01,subclass,1122401
Fabricação de chá mate e outros chás prontos para consumo,1122-4/02,subclass,1122402
"Fabricação de refrescos, xaropes e pós para refrescos, exceto refrescos de frutas",1122-4/03,subclass,1122403
Fabricação de bebidas isotônicas,1122-4/04,subclass,1122404
Fabricação de outras bebidas não alcoólicas não especificadas anteriormente,1122-4/99,subclass,1122499
FABRICAÇÃO DE PRODUTOS DO FUMO,12,division,12
Processamento industrial do fumo,12.1,group,121
Processamento industrial do fumo,12.10-7,class,12107
Processamento industrial do fumo,1210-7/00,subclass,1210700
Fabricação de produtos do fumo,12.2,group,122
Fabricação de produtos do fumo,12.20-4,class,12204
Fabricação de cigarros,1220-4/01,subclass,1220401
Fabricação de cigarrilhas e charutos,1220-4/02,subclass,1220402
Fabricação de filtros para cigarros,1220-4/03,subclass,1220403
"Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos",1220-4/99,subclass,1220499
FABRICAÇÃO DE PRODUTOS TÊXTEIS,13,division,13
Preparação e fiação de fibras têxteis,13.1,group,131
Preparação e fiação de fibras de algodão,13.11-1,class,13111
Preparação e fiação de fibras de algodão,1311-1/00,subclass,1311100
"Preparação e fiação de fibras têxteis naturais, exceto algodão",13.12-0,class,13120
"Preparação e fiação de fibras têxteis naturais, exceto algodão",1312-0/00,subclass,1312000
Fiação de fibras artificiais e sintéticas,13.13-8,class,13138
Fiação de fibras artificiais e sintéticas,1313-8/00,subclass,1313800
Fabricação de linhas para costurar e bordar,13.14-6,class,13146
Fabricação de linhas para costurar e bordar,1314-6/00,subclass,1314600
"Tecelagem, exceto malha",13.2,group,132
Tecelagem de fios de algodão,13.21-9,class,13219
Tecelagem de fios de algodão,1321-9/00,subclass,1321900
"Tecelagem de fios de fibras têxteis naturais, exceto algodão",13.22-7,class,13227
"Tecelagem de fios de fibras têxteis naturais, exceto algodão",1322-7/00,subclass,1322700
Tecelagem de fios de fibras artificiais e sintéticas,13.23-5,class,13235
Tecelagem de fios de fibras artificiais e sintéticas,1323-5/00,subclass,1323500
Fabricação de tecidos de malha,13.3,group,133
Fabricação de tecidos de malha,13.30-8,class,13308
Fabricação de tecidos de malha,1330-8/00,subclass,1330800
"Acabamentos em fios, tecidos e artefatos têxteis",13.4,group,134
"Acabamentos em fios, tecidos e artefatos têxteis",13.40-5,class,13405
"Estamparia e texturização em fios, tecidos, artefatos têxteis e peças do vestuário",1340-5/01,subclass,1340501
"Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário",1340-5/02,subclass,1340502
"Outros serviços de acabamento em fios, tecidos, artefatos têxteis e peças do vestuário",1340-5/99,subclass,1340599
"Fabricação de artefatos têxteis, exceto vestuário",13.5,group,135
Fabricação de artefatos têxteis para uso doméstico,13.51-1,class,13511
Fabricação de artefatos têxteis para uso doméstico,1351-1/00,subclass,1351100
Fabricação de artefatos de tapeçaria,13.52-9,class,13529
Fabricação de artefatos de tapeçaria,1352-9/00,subclass,1352900
Fabricação de artefatos de cordoaria,13.53-7,class,13537
Fabricação de artefatos de cordoaria,1353-7/00,subclass,1353700
"Fabricação de tecidos especiais, inclusive artefatos",13.54-5,class,13545
"Fabricação de tecidos especiais, inclusive artefatos",1354-5/00,subclass,1354500
Fabricação de outros produtos têxteis não especificados anteriormente,13.59-6,class,13596
Fabricação de outros produtos têxteis não especificados anteriormente,1359-6/00,subclass,1359600
CONFECÇÃO DE ARTIGOS DO VESTUÁRIO E ACESSÓRIOS,14,division,14
Confecção de artigos do vestuário e acessórios,14.1,group,141
Confecção de roupas íntimas,14.11-8,class,14118
Confecção de roupas íntimas,1411-8/01,subclass,1411801
Facção de roupas íntimas,1411-8/02,subclass,1411802
"Confecção de peças do vestuário, exceto roupas íntimas",14.12-6,class,14126
"Confecção de peças do vestuário, exceto roupas íntimas e as confeccionadas sob medida",1412-6/01,subclass,1412601
"Confecção, sob medida, de peças do vestuário, exceto roupas íntimas",1412-6/02,subclass,1412602
"Facção de peças do vestuário, exceto roupas íntimas",1412-6/03,subclass,1412603
Confecção de roupas profissionais,14.13-4,class,14134
"Confecção de roupas profissionais, exceto sob medida",1413-4/01,subclass,1413401
"Confecção, sob medida, de roupas profissionais",1413-4/02,subclass,1413402
Facção de roupas profissionais,1413-4/03,subclass,1413403
"Fabricação de acessórios do vestuário, exceto para segurança e proteção",14.14-2,class,14142
"Fabricação de acessórios do vestuário, exceto para segurança e proteção",1414-2/00,subclass,1414200
Fabricação de artigos de malharia e tricotagem,14.2,group,142
Fabricação de meias,14.21-5,class,14215
Fabricação de meias,1421-5/00,subclass,1421500
"Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias",14.22-3,class,14223
"Fabricação de artigos do vestuário, produzidos em malharias e tricotagens, exceto meias",1422-3/00,subclass,1422300
"PREPARAÇÃO DE COUROS E FABRICAÇÃO DE ARTEFATOS DE COURO, ARTIGOS PARA VIAGEM E CALÇADOS",15,division,15
Curtimento e outras preparações de couro,15.1,group,151
Curtimento e outras preparações de couro,15.10-6,class,15106
Curtimento e outras preparações de couro,1510-6/00,subclass,1510600
Fabricação de artigos para viagem e de artefatos diversos de couro,15.2,group,152
"Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material",15.21-1,class,15211
"Fabricação de artigos para viagem, bolsas e semelhantes de qualquer material",1521-1/00,subclass,1521100
Fabricação de artefatos de couro não especificados anteriormente,15.29-7,class,15297
Fabricação de artefatos de couro não especificados anteriormente,1529-7/00,subclass,1529700
Fabricação de calçados,15.3,group,153
Fabricação de calçados de couro,15.31-9,class,15319
Fabricação de calçados de couro,1531-9/01,subclass,1531901
Acabamento de calçados de couro sob contrato,1531-9/02,subclass,1531902
Fabricação de tênis de qualquer material,15.32-7,class,15327
Fabricação de tênis de qualquer material,1532-7/00,subclass,1532700
Fabricação de calçados de material sintético,15.33-5,class,15335
